year,discount_rate_pct,sc_ch4_cad2021,source
2020,1.5,2948,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2020,2.0,2107,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2020,2.5,1607,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2021,1.5,3057,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2021,2.0,2203,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2021,2.5,1693,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2022,1.5,3169,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2022,2.0,2300,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2022,2.5,1777,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2023,1.5,3279,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2023,2.0,2396,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2023,2.5,1863,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2024,1.5,3389,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2024,2.0,2494,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2024,2.5,1949,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2025,1.5,3500,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2025,2.0,2589,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2025,2.5,2033,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2026,1.5,3610,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2026,2.0,2687,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2026,2.5,2119,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2027,1.5,3721,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2027,2.0,2783,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2027,2.5,2205,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2028,1.5,3831,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2028,2.0,2880,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2028,2.5,2290,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2029,1.5,3942,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2029,2.0,2976,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2029,2.5,2375,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2030,1.5,4052,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2030,2.0,3073,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2030,2.5,2460,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2031,1.5,4182,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2031,2.0,3184,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2031,2.5,2560,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2032,1.5,4311,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2032,2.0,3297,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2032,2.5,2660,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2033,1.5,4439,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2033,2.0,3409,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2033,2.5,2758,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2034,1.5,4568,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2034,2.0,3522,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2034,2.5,2858,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2035,1.5,4697,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2035,2.0,3634,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2035,2.5,2958,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2036,1.5,4826,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2036,2.0,3745,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2036,2.5,3057,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2037,1.5,4955,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2037,2.0,3858,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2037,2.5,3156,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2038,1.5,5083,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2038,2.0,3971,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2038,2.5,3256,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
