year,discount_rate_pct,sc_co2_cad2021,source
2020,1.5,431,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2020,2.0,247,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2020,2.5,150,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2021,1.5,436,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2021,2.0,252,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2021,2.5,152,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2022,1.5,442,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2022,2.0,256,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2022,2.5,156,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2023,1.5,449,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2023,2.0,261,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2023,2.5,160,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2024,1.5,455,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2024,2.0,266,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2024,2.5,164,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2025,1.5,460,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2025,2.0,271,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2025,2.5,166,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2026,1.5,467,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2026,2.0,275,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2026,2.5,170,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2027,1.5,473,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2027,2.0,280,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2027,2.5,174,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2028,1.5,480,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2028,2.0,285,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2028,2.5,178,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2029,1.5,486,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2029,2.0,289,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2029,2.5,180,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2030,1.5,491,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
