ISO3,dam_HD,dam_FD,share_HD_%,share_FD_%,P_dam_HD,P_dam_FD
USA,58336923538.574165,418270688435.1118,29.546226234417073,22.736828249872325,0.97,0.98
CHN,20833143642.875263,273832952249.1251,10.551478170416132,14.885319427325177,0.98,0.98
IND,9512896380.495148,180343402163.23535,4.818049556844127,9.803309374425012,0.99,0.99
BRA,6511012803.935154,62504082644.46275,3.2976688802084237,3.3976671837081014,0.99,0.99
SAU,5084664608.813834,61452620897.67545,2.575258374034909,3.3405106441536394,0.99,0.99
MEX,4659090479.125039,61295043679.19042,2.359715476799577,3.3319448845825077,0.99,0.99
IDN,3544550682.9544225,61209428605.29353,1.7952283052547238,3.327290924157797,0.99,0.99
JPN,14340189873.09575,55126030222.1065,7.262955749711779,2.9966027166442255,0.97,0.98
NGA,2093851493.1356616,48059689733.70728,1.0604846153148775,2.6124826372741965,0.99,0.99
FRA,5407475091.372615,32405689063.786964,2.7387539951609763,1.7615448725769212,0.9,0.92
ITA,6020441970.246797,30347835093.84446,3.0492067406754986,1.6496817332951466,0.97,0.98
DEU,5569806001.652841,26660338878.321438,2.8209706344530185,1.4492326689868595,0.76,0.81
AUS,3670810157.583197,26092243832.842987,1.8591756438413,1.4183515199229066,0.99,0.99
THA,2521533916.8562026,25716543472.711018,1.2770953119584079,1.397928777431208,0.99,0.99
VEN,1472783194.953173,25574279782.37671,0.7459286988893141,1.3901954478368586,0.99,0.99
ESP,4125743007.007873,21694223481.145218,2.0895880152047215,1.179278985937518,0.98,0.98
GBR,3177956574.707908,20272779060.362663,1.6095573476271108,1.1020105123014887,0.79,0.77
TUR,1391856528.986951,19955463818.199734,0.7049413201247478,1.0847615336816434,0.97,0.98
EGY,1379259467.0395029,19876275357.73438,0.6985612160738002,1.0804569183338437,0.99,0.99
ISR,1563534417.8733642,19764114460.877445,0.7918919756753618,1.074359950225156,0.99,0.99
PHL,1221106981.4339967,19669978327.9847,0.618460846774314,1.0692427924972325,0.99,0.99
PAK,1344916052.8446016,19433779972.29666,0.6811671160096465,1.0564032567739106,0.99,0.99
MYS,1300897925.613472,19275941450.827606,0.6588730102067181,1.047823293001449,0.99,0.99
VNM,1006544565.840287,19025922603.218758,0.5097902263851041,1.0342324874430164,0.99,0.99
BGD,1140277148.311779,13676909451.272915,0.5775225114790004,0.7434648178338461,0.99,0.99
KOR,2861364383.154599,13512741560.32606,1.4492111389433646,0.7345407950806201,0.92,0.94
ZAF,1245224324.3102295,12038782874.72793,0.6306756916027871,0.654417692007737,0.99,0.99
COL,943470333.9541652,11164116710.390089,0.4778446692348858,0.6068716054556805,0.99,0.99
ARG,1102791817.892508,9650380491.266823,0.5585371076239736,0.5245862305024792,0.99,0.99
COD,163569418.49449936,8654690663.906137,0.08284391343802842,0.47046140363606836,0.99,0.99
NLD,1367776695.5218966,8607736052.460835,0.6927454728964456,0.4679089920865869,0.84,0.86
KEN,307295165.4573337,7529761918.488854,0.15563749215094314,0.4093112623876097,0.99,0.99
IRN,872765174.6877774,6891145711.204633,0.44203423383810264,0.3745966447390944,0.98,0.98
DZA,496613603.19890493,5553175852.372719,0.2515226546271608,0.30186577517330476,0.99,0.99
PER,538618268.9570801,5290205302.649894,0.2727969913955623,0.2875709264326669,0.99,0.99
GHA,272566594.6002757,4984841725.599009,0.1380483196492062,0.27097162985955847,0.99,0.99
CHE,779198163.7733201,4946163356.444521,0.39464482924036587,0.268869107591644,0.65,0.6799999999999999
GTM,263005849.03885886,4752191303.645455,0.13320603565148162,0.25832495670632155,0.99,0.99
CHL,477481390.28960395,4354480729.282748,0.24183265630886652,0.23670575824832163,0.97,0.98
PRT,630887646.3782266,4353708648.445274,0.31952917633828304,0.23666378861028092,0.98,0.98
BEL,793400464.1800866,4315135645.836275,0.4018379473448886,0.23456699397548605,0.84,0.86
UZB,128744688.77847154,3835615510.2513075,0.06520603882398887,0.20850069942842672,0.98,0.98
ROU,375727391.73098415,3745502150.613414,0.1902967425289502,0.2036022161309924,0.85,0.88
ECU,344718668.78032535,3595268529.7378445,0.1745915820925293,0.19543564809347577,0.99,0.99
TZA,208391650.12034053,3569802091.246399,0.10554527846755148,0.19405131480375312,0.99,0.99
POL,497656990.87637573,3460982469.978181,0.25205110498927785,0.18813597550936348,0.69,0.74
MAR,369290476.2011265,3426523423.443281,0.18703660210739972,0.18626281192324257,0.99,0.99
YEM,103606599.89149085,3390908166.692331,0.052474211084315596,0.18432679776252978,0.99,0.99
ETH,210230134.8717412,3322504268.2634645,0.10647642606839286,0.1806084217605735,0.99,0.99
GRC,744608389.4107018,3295363108.9448056,0.37712595377139146,0.17913305211361222,0.98,0.98
DOM,246446822.79836458,3202604853.319213,0.1248192935018072,0.1740907945870152,0.99,0.99
CIV,236449976.53499502,3178642802.425999,0.11975613515522596,0.17278823848940278,0.99,0.99
CAN,398451174.43883693,3134815088.536757,0.20180578318557654,0.17040580235214323,0.3299999999999999,0.41
PRI,487101488.4858157,2993519457.4631233,0.24670500096575665,0.16272509561125736,0.99,0.99
UGA,116544486.04372826,2961033189.748683,0.05902693426651036,0.16095917055381173,0.99,0.99
CUB,444824696.662139,2827475828.464318,0.22529283899492958,0.15369910938053197,0.99,0.99
NER,64736387.46531745,2781253172.0254054,0.03278739833416831,0.1511864862640607,0.99,0.99
OMN,427245849.6642996,2693514849.6804614,0.21638958255229374,0.14641710791351822,0.99,0.99
PRY,158218897.88806668,2666516330.183392,0.08013400549773333,0.14494949204231683,0.99,0.99
IRL,278930366.22013164,2618481117.3062377,0.1412714144677065,0.14233833994552497,0.79,0.77
SDN,171432647.36154163,2582895814.530686,0.08682644671105931,0.14040395405667744,0.99,0.99
AUT,504204095.0127057,2566905090.728853,0.255367053247406,0.13953471231747339,0.6799999999999999,0.71
LKA,286219706.11043465,2526246087.209505,0.1449632869977353,0.13732452450037086,0.99,0.99
NZL,309054209.17658323,2350240954.401515,0.15652840481024394,0.12775703964810142,0.94,0.95
KWT,349511190.0665757,2310843421.768664,0.17701887701258423,0.12561542428343586,0.99,0.99
DNK,361665971.5880849,2252144518.891994,0.1831749768354855,0.12242460333885556,0.7,0.73
PAN,218166615.1713824,2186023363.564007,0.11049605940204198,0.11883031525235294,0.99,0.99
UKR,214129425.92455968,2155957366.796596,0.10845132170244584,0.11719595400361368,0.72,0.79
JOR,147730849.25576407,2041678538.4305692,0.0748220651544501,0.11098385699323932,0.99,0.99
MLI,99564789.86769259,2030962204.4594681,0.050427133074095985,0.1104013264652676,0.99,0.99
SWE,252881996.22408912,1992396781.3788967,0.12807855159018486,0.10830494384699899,0.48,0.51
CRI,202377414.67703632,1973578254.5865605,0.10249921518110791,0.10728198521417251,0.99,0.99
CMR,151579309.6203609,1906891505.535015,0.07677121628703217,0.10365695194827454,0.99,0.99
BFA,87925704.04383561,1892456453.425222,0.044532220520366886,0.10287227515959911,0.99,0.99
MWI,44721409.88734848,1811147744.6807842,0.02265030128268554,0.09845240497252535,0.99,0.99
NPL,97249833.38681582,1793479742.2802045,0.04925466418547541,0.09749198783786248,0.99,0.99
TUN,168986245.14248812,1775790541.757418,0.08558740376809816,0.0965304183918444,0.99,0.99
SEN,107355075.10611838,1749551607.9774861,0.05437272218170414,0.09510409293488704,0.99,0.99
KHM,71303228.02777724,1726386633.2497346,0.03611334260984628,0.09384486519945076,0.99,0.99
HUN,278795165.5758535,1673718700.9425976,0.14120293864518155,0.09098188253235659,0.87,0.92
TKM,79999768.93138891,1586324613.6194673,0.04051792806634655,0.08623121649607605,0.99,0.99
CZE,256738034.9362819,1514630874.9020162,0.13003154097063757,0.08233400765768338,0.69,0.73
ZWE,109287325.12495634,1492973621.916652,0.055351359599227413,0.08115673835551315,0.99,0.99
CYP,127938931.06359567,1465086552.3913767,0.0647979422311319,0.07964082168308108,0.99,0.99
BOL,101245696.58744052,1464882278.3798327,0.05127847125252743,0.07962971752674212,0.98,0.98
SLV,141743657.93656442,1445935525.1991553,0.07178969905600749,0.07859978861976202,0.99,0.99
KAZ,119408283.55747262,1422905180.2626407,0.06047737772664075,0.07734787924185188,0.56,0.5900000000000001
ZMB,68162570.85214272,1275006763.6507118,0.03452267649639097,0.0693082508626446,0.99,0.99
SRB,77930546.36967488,1252174241.0803049,0.03946991740295706,0.06806709493527864,0.89,0.92
URY,128257670.1813149,1140424101.608974,0.06495937580545577,0.06199245523827989,0.99,0.99
HND,104782062.6548716,1131991133.0006156,0.0530695542500212,0.06153404645137167,0.99,0.99
BEN,69457817.06757458,1120765618.0159507,0.03517868705349752,0.06092383728950665,0.99,0.99
HRV,124485714.38419923,906228915.1566396,0.06304897236681527,0.04926181003998596,0.91,0.94
PNG,58058965.363807805,890943209.6408203,0.02940544721116395,0.048430892477266944,0.99,0.99
JAM,71968519.5496438,877891877.28683,0.036450296508416385,0.0477214334824832,0.99,0.99
BWA,77230270.47493112,846253424.5463624,0.03911524477441286,0.04600159490440098,0.99,0.99
COG,64815548.69859683,796037691.0164595,0.03282749156441761,0.04327191161489674,0.99,0.99
MOZ,50766005.825362325,793428588.5433294,0.02571174141780173,0.04313008308983365,0.99,0.99
LBN,145352754.3093121,789631636.5024899,0.07361761817588544,0.04292368410273618,0.99,0.99
HTI,66807747.349153884,778760368.2592318,0.03383649149898457,0.0423327314834407,0.99,0.99
BGR,112560745.41545433,777456849.3836179,0.05700926698612333,0.04226187333914619,0.87,0.92
MDG,47079745.674217775,749314929.561776,0.0238447407297621,0.040732103227822315,0.99,0.99
GIN,58152492.11843029,742481737.0335951,0.029452816226933513,0.040360656867349784,0.99,0.99
MRT,46902663.40540646,715984613.1856632,0.023755052887842507,0.0389202964244509,0.99,0.99
LUX,86510059.90349993,698227723.9069076,0.04381523135637494,0.03795504747694856,0.75,0.77
AZE,78104654.97514462,695122519.9642043,0.03955809915705944,0.03778625131054681,0.97,0.98
NAM,53707140.6157981,689411744.6405834,0.027201354318740358,0.03747581856616165,0.99,0.99
NIC,60131294.12860985,687016791.2074788,0.030455031090513437,0.037345630995336,0.99,0.99
RUS,-186197457.340523,665535528.3263052,-0.09430446216826292,0.03617792836107558,0.27,0.3399999999999999
SVK,103343385.06261809,623094859.5692391,0.05234089920548494,0.033870890782254574,0.69,0.73
LAO,55519010.109855294,608440272.7908838,0.028119021942115362,0.03307428028129186,0.99,0.99
IRQ,96836886.65819597,596403046.8186896,0.049045516758314686,0.03241994722114213,0.0099999999999999,0.0099999999999999
TCD,50936873.42169838,588359378.8906409,0.02579828167997613,0.0319827004782176,0.99,0.99
SYR,70295036.3852832,534473511.0258397,0.035602718179384485,0.029053511901028152,0.99,0.99
GAB,70580791.12887602,489378544.1526952,0.035747445974229,0.026602189001581344,0.99,0.99
TTO,89123184.95411693,476581323.9950899,0.04513871533943586,0.025906543323210043,0.99,0.99
SVN,79567384.93922201,413542398.1985263,0.04029893614017382,0.022479802534235857,0.79,0.84
TJK,11433212.44552136,411769737.9494252,0.0057906427183832855,0.02238344227581091,0.95,0.96
LTU,34627409.43909841,349103837.216602,0.017537936715549964,0.01897697880255993,0.5299999999999999,0.5799999999999998
BHS,51574502.05843283,332001370.46095884,0.02612122500320506,0.018047303690189403,0.99,0.99
BRN,60657391.3505987,327178324.9721014,0.030721486477587504,0.01778512716203786,0.99,0.99
BLR,36663037.75546256,316307016.77142394,0.01856893271458839,0.01719417237069207,0.52,0.5700000000000001
TGO,30260956.79076222,308114932.86937225,0.015326435149062593,0.016748857865421907,0.99,0.99
RWA,18152623.604448155,301325138.8029384,0.00919386027291273,0.016379770607316182,0.99,0.99
MKD,22389786.745170325,296944637.0854147,0.011339879863149256,0.0161416503709395,0.88,0.92
MDA,15422933.796136549,295593178.12453955,0.007811339088489496,0.01606818624560207,0.85,0.88
BIH,22893053.411111377,259803326.2581704,0.011594772131479157,0.014122681247347217,0.79,0.86
