year_cat,emitter,total_damages,discount_rate
2021-2100,1990,2284.2002403819056,1.5%
2021-2100,1991,2251.320900154378,1.5%
2021-2100,1992,2219.576696358883,1.5%
2021-2100,1993,2188.0970397215365,1.5%
2021-2100,1994,2156.3318840579645,1.5%
2021-2100,1995,2124.8499646051882,1.5%
2021-2100,1996,2093.5814478153147,1.5%
2021-2100,1997,2061.5086264747483,1.5%
2021-2100,1998,2028.6239100273278,1.5%
2021-2100,1999,1995.8984541010684,1.5%
2021-2100,2000,1963.4358849740229,1.5%
2021-2100,2001,1930.7066701589247,1.5%
2021-2100,2002,1897.9124564800693,1.5%
2021-2100,2003,1865.5058508138718,1.5%
2021-2100,2004,1833.247250318891,1.5%
2021-2100,2005,1800.6590199101145,1.5%
2021-2100,2006,1767.6548256704664,1.5%
2021-2100,2007,1734.5807930648998,1.5%
2021-2100,2008,1701.5421050041878,1.5%
2021-2100,2009,1668.5593819037108,1.5%
2021-2100,2010,1635.7493502879354,1.5%
2021-2100,2011,1602.7653088613336,1.5%
2021-2100,2012,1569.6033232024588,1.5%
2021-2100,2013,1536.4945725622533,1.5%
2021-2100,2014,1503.0576254371006,1.5%
2021-2100,2015,1469.0736139926069,1.5%
2021-2100,2016,1434.9033753442602,1.5%
2021-2100,2017,1400.885961451111,1.5%
2021-2100,2018,1366.932502636602,1.5%
2021-2100,2019,1332.6362521061826,1.5%
2021-2100,2020,1298.4762731039355,1.5%
2021-2100,1990,1839.6175747928264,2%
2021-2100,1991,1812.059320338545,2%
2021-2100,1992,1785.4450103100714,2%
2021-2100,1993,1759.0467643219376,2%
2021-2100,1994,1732.408192684154,2%
2021-2100,1995,1706.0073935566818,2%
2021-2100,1996,1679.7850035422025,2%
2021-2100,1997,1652.8848691862077,2%
2021-2100,1998,1625.3023525898013,2%
2021-2100,1999,1597.8518455640037,2%
2021-2100,2000,1570.6207637421012,2%
2021-2100,2001,1543.1668381694483,2%
2021-2100,2002,1515.6571799470123,2%
2021-2100,2003,1488.4688157969392,2%
2021-2100,2004,1461.4019336572978,2%
2021-2100,2005,1434.0571695457343,2%
2021-2100,2006,1406.3611185535672,2%
2021-2100,2007,1378.6055506660573,2%
2021-2100,2008,1350.8819985802713,2%
2021-2100,2009,1323.2084031635432,2%
2021-2100,2010,1295.6794586241315,2%
2021-2100,2011,1268.0017527135874,2%
2021-2100,2012,1240.1744348570767,2%
2021-2100,2013,1212.3931504393586,2%
2021-2100,2014,1184.338949201509,2%
2021-2100,2015,1155.8309734584627,2%
2021-2100,2016,1127.1736143940554,2%
2021-2100,2017,1098.6510462543065,2%
2021-2100,2018,1070.1901137127697,2%
2021-2100,2019,1041.4540379576022,2%
2021-2100,2020,1012.8490006308385,2%
2021-2100,1990,1239.3552926386624,3%
2021-2100,1991,1219.2575649168552,3%
2021-2100,1992,1199.8380346726067,3%
2021-2100,1993,1180.5683391477937,3%
2021-2100,1994,1161.1217896104292,3%
2021-2100,1995,1141.849064365314,3%
2021-2100,1996,1122.7057848833467,3%
2021-2100,1997,1103.062997420715,3%
2021-2100,1998,1082.9195391265773,3%
2021-2100,1999,1062.8698351076152,3%
