year,committed,committed_plus_advanced,full
2025,12.362,12.362,12.362
2026,29.6688,29.6688,29.6688
2027,42.0308,42.0308,42.0308
2028,49.65992,49.65992,49.65992
2029,55.38176,55.38176,55.38176
2030,58.032879199999996,58.032879199999996,58.032879199999996
2031,58.032879199999996,58.032879199999996,58.032879199999996
2032,58.032879199999996,58.032879199999996,58.032879199999996
2033,58.032879199999996,58.032879199999996,58.032879199999996
2034,58.032879199999996,74.98647919999999,74.98647919999999
2035,58.032879199999996,107.4808792,155.56767077894736
2036,58.032879199999996,128.2066552,212.3585404631579
2037,58.032879199999996,135.0799272,235.94197253684212
2038,58.032879199999996,135.0799272,235.94197253684212
2039,58.032879199999996,135.0799272,235.94197253684212
2040,58.032879199999996,135.0799272,235.94197253684212
2041,58.032879199999996,135.0799272,235.94197253684212
2042,58.032879199999996,135.0799272,235.94197253684212
2043,58.032879199999996,135.0799272,235.94197253684212
2044,58.032879199999996,135.0799272,235.94197253684212
2045,58.032879199999996,135.0799272,235.94197253684212
2046,58.032879199999996,135.0799272,235.94197253684212
2047,58.032879199999996,135.0799272,235.94197253684212
2048,58.032879199999996,135.0799272,235.94197253684212
2049,58.032879199999996,135.0799272,235.94197253684212
2050,58.032879199999996,135.0799272,235.94197253684212
2051,58.032879199999996,135.0799272,235.94197253684212
2052,58.032879199999996,135.0799272,235.94197253684212
2053,58.032879199999996,135.0799272,235.94197253684212
2054,58.032879199999996,135.0799272,235.94197253684212
2055,58.032879199999996,135.0799272,235.94197253684212
2056,58.032879199999996,135.0799272,235.94197253684212
2057,16.0020792,51.562255199999996,152.4243005368421
2058,9.7790484,45.3392244,146.2012697368421
2059,9.7790484,45.3392244,146.2012697368421
2060,9.7790484,45.3392244,138.2002301368421
2061,9.7790484,45.3392244,138.2002301368421
2062,9.7790484,45.3392244,138.2002301368421
2063,9.7790484,45.3392244,138.2002301368421
2064,9.7790484,9.7790484,102.64005413684211
2065,9.7790484,9.7790484,102.64005413684211
2066,9.7790484,9.7790484,102.64005413684211
2067,0.0,0.0,92.86100573684212
2068,0.0,0.0,92.86100573684212
2069,0.0,0.0,92.86100573684212
