year,canada_pathway_mtco2e_yr,milestone_years,lng_can_measurement_central,lng_can_near_term_methane_gwp20,lng_can_howarth_high,value_kind
2025,636.0,"2023,2026,2030,2035,2050",3.8067403199999994,4.12473024,4.999202520000001,calendar-year annual
2026,607.0,"2023,2026,2030,2035,2050",6.9427403199999995,7.6527302399999995,9.60520252,calendar-year annual
2027,569.0,"2023,2026,2030,2035,2050",9.182740319999999,10.17273024,12.895202520000002,calendar-year annual
2028,531.0,"2023,2026,2030,2035,2050",10.197940319999999,11.36073024,14.558402520000003,calendar-year annual
2029,493.0,"2023,2026,2030,2035,2050",10.959340319999999,12.25173024,15.805802520000002,calendar-year annual
2030,455.0,"2023,2026,2030,2035,2050",11.31212232,12.66456024,16.38376452,calendar-year annual
2031,447.4,"2023,2026,2030,2035,2050",11.31212232,12.66456024,16.38376452,calendar-year annual
2032,439.8,"2023,2026,2030,2035,2050",11.31212232,12.66456024,16.38376452,calendar-year annual
2033,432.2,"2023,2026,2030,2035,2050",11.47852232,12.85176024,16.628164520000002,calendar-year annual
2034,424.6,"2023,2026,2030,2035,2050",13.85932232,15.632160240000001,20.507464520000003,calendar-year annual
2035,417.0,"2023,2026,2030,2035,2050",21.268746319999998,24.27121224,32.52799352,calendar-year annual
2036,389.2,"2023,2026,2030,2035,2050",26.29740632,30.134112240000004,40.685053520000004,calendar-year annual
2037,361.4,"2023,2026,2030,2035,2050",28.264117320000004,32.42552724,43.869404519999996,calendar-year annual
2038,333.6,"2023,2026,2030,2035,2050",28.264117320000004,32.42552724,43.869404519999996,calendar-year annual
2039,305.8,"2023,2026,2030,2035,2050",28.264117320000004,32.42552724,43.869404519999996,calendar-year annual
2040,278.0,"2023,2026,2030,2035,2050",28.264117320000004,32.42552724,43.869404519999996,calendar-year annual
2041,250.2,"2023,2026,2030,2035,2050",28.264117320000004,32.42552724,43.869404519999996,calendar-year annual
2042,222.4,"2023,2026,2030,2035,2050",28.264117320000004,32.42552724,43.869404519999996,calendar-year annual
2043,194.6,"2023,2026,2030,2035,2050",28.264117320000004,32.42552724,43.869404519999996,calendar-year annual
2044,166.8,"2023,2026,2030,2035,2050",28.264117320000004,32.42552724,43.869404519999996,calendar-year annual
2045,139.0,"2023,2026,2030,2035,2050",28.264117320000004,32.42552724,43.869404519999996,calendar-year annual
2046,111.20000000000005,"2023,2026,2030,2035,2050",28.264117320000004,32.42552724,43.869404519999996,calendar-year annual
2047,83.39999999999998,"2023,2026,2030,2035,2050",28.264117320000004,32.42552724,43.869404519999996,calendar-year annual
2048,55.599999999999966,"2023,2026,2030,2035,2050",28.264117320000004,32.42552724,43.869404519999996,calendar-year annual
2049,27.80000000000001,"2023,2026,2030,2035,2050",27.740992320000004,31.902402240000004,43.346279519999996,calendar-year annual
2050,0.0,"2023,2026,2030,2035,2050",27.740992320000004,31.902402240000004,43.346279519999996,calendar-year annual
