year,canada_pathway_mtco2e_yr,milestone_years,total_lng_mtco2e_yr,scenario,value_kind
2025,636.0,"2023,2026,2030,2035,2050",14.568552819999999,measurement_central,calendar-year annual
2026,607.0,"2023,2026,2030,2035,2050",31.96355282,measurement_central,calendar-year annual
2027,569.0,"2023,2026,2030,2035,2050",44.38855282,measurement_central,calendar-year annual
2028,531.0,"2023,2026,2030,2035,2050",52.05655282,measurement_central,calendar-year annual
2029,493.0,"2023,2026,2030,2035,2050",57.80755282,measurement_central,calendar-year annual
2030,455.0,"2023,2026,2030,2035,2050",60.47218282,measurement_central,calendar-year annual
2031,447.4,"2023,2026,2030,2035,2050",60.47218282,measurement_central,calendar-year annual
2032,439.8,"2023,2026,2030,2035,2050",60.47218282,measurement_central,calendar-year annual
2033,432.2,"2023,2026,2030,2035,2050",61.35358282,measurement_central,calendar-year annual
2034,424.6,"2023,2026,2030,2035,2050",79.05463282,measurement_central,calendar-year annual
2035,417.0,"2023,2026,2030,2035,2050",185.98491932,measurement_central,calendar-year annual
2036,389.2,"2023,2026,2030,2035,2050",262.28931932,measurement_central,calendar-year annual
2037,361.4,"2023,2026,2030,2035,2050",294.90010932,measurement_central,calendar-year annual
2038,333.6,"2023,2026,2030,2035,2050",294.90010932,measurement_central,calendar-year annual
2039,305.8,"2023,2026,2030,2035,2050",294.90010932,measurement_central,calendar-year annual
2040,278.0,"2023,2026,2030,2035,2050",294.90010932,measurement_central,calendar-year annual
2041,250.2,"2023,2026,2030,2035,2050",294.90010932,measurement_central,calendar-year annual
2042,222.4,"2023,2026,2030,2035,2050",294.90010932,measurement_central,calendar-year annual
2043,194.6,"2023,2026,2030,2035,2050",294.90010932,measurement_central,calendar-year annual
2044,166.8,"2023,2026,2030,2035,2050",294.90010932,measurement_central,calendar-year annual
2045,139.0,"2023,2026,2030,2035,2050",294.90010932,measurement_central,calendar-year annual
2046,111.20000000000005,"2023,2026,2030,2035,2050",294.90010932,measurement_central,calendar-year annual
2047,83.39999999999998,"2023,2026,2030,2035,2050",294.90010932,measurement_central,calendar-year annual
2048,55.599999999999966,"2023,2026,2030,2035,2050",294.90010932,measurement_central,calendar-year annual
2049,27.80000000000001,"2023,2026,2030,2035,2050",294.37698432,measurement_central,calendar-year annual
2050,0.0,"2023,2026,2030,2035,2050",294.37698432,measurement_central,calendar-year annual
