year,canada_pathway_mtco2e_yr,milestone_years,can_gas_mtco2e_yr,can_claimed_electric_mtco2e_yr,can_all_electric_mtco2e_yr,scenario,value_kind
2025,636.0,"2023,2026,2030,2035,2050",2.2399999999999998,2.2399999999999998,1.75,measurement_central,"calendar-year annual, Canada territorial only"
2026,607.0,"2023,2026,2030,2035,2050",5.3759999999999994,5.3759999999999994,4.2,measurement_central,"calendar-year annual, Canada territorial only"
2027,569.0,"2023,2026,2030,2035,2050",7.615999999999999,7.615999999999999,5.95,measurement_central,"calendar-year annual, Canada territorial only"
2028,531.0,"2023,2026,2030,2035,2050",8.998399999999998,8.695999999999998,7.03,measurement_central,"calendar-year annual, Canada territorial only"
2029,493.0,"2023,2026,2030,2035,2050",10.035199999999998,9.505999999999998,7.840000000000001,measurement_central,"calendar-year annual, Canada territorial only"
2030,455.0,"2023,2026,2030,2035,2050",10.515583999999999,9.8813,8.215300000000001,measurement_central,"calendar-year annual, Canada territorial only"
2031,447.4,"2023,2026,2030,2035,2050",10.515583999999999,9.8813,8.215300000000001,measurement_central,"calendar-year annual, Canada territorial only"
2032,439.8,"2023,2026,2030,2035,2050",10.515583999999999,9.8813,8.215300000000001,measurement_central,"calendar-year annual, Canada territorial only"
2033,432.2,"2023,2026,2030,2035,2050",10.515583999999999,9.8813,8.215300000000001,measurement_central,"calendar-year annual, Canada territorial only"
2034,424.6,"2023,2026,2030,2035,2050",13.587583999999998,12.2813,10.615300000000001,measurement_central,"calendar-year annual, Canada territorial only"
2035,417.0,"2023,2026,2030,2035,2050",28.358783999999996,24.7733,22.155299999999997,measurement_central,"calendar-year annual, Canada territorial only"
2036,389.2,"2023,2026,2030,2035,2050",38.776703999999995,33.6263,30.2943,measurement_central,"calendar-year annual, Canada territorial only"
2037,361.4,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2038,333.6,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2039,305.8,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2040,278.0,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2041,250.2,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2042,222.4,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2043,194.6,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2044,166.8,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2045,139.0,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2046,111.20000000000005,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2047,83.39999999999998,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2048,55.599999999999966,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2049,27.80000000000001,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
2050,0.0,"2023,2026,2030,2035,2050",43.109056,37.34177,33.67895,measurement_central,"calendar-year annual, Canada territorial only"
