discount_rate_pct,growth_rate,total_cad_billion,proposed_cad_billion,is_burke_default,is_central
1.5,-0.02,9277.533963029611,6588.166825171011,False,False
1.5,0.0,16115.470218350567,11962.35585589673,False,False
1.5,0.02,28823.66272490421,22223.856394825245,False,False
2.0,-0.02,7236.74448075267,5138.960428528046,False,False
2.0,0.0,12570.532279603605,9330.983110590607,True,False
2.0,0.02,22483.289521843086,17335.249943269675,False,False
3.0,-0.02,4541.299721792255,3224.8699158089603,False,False
3.0,0.0,7888.43034267351,5855.5046563929645,False,False
3.0,0.02,14109.01776649454,10878.450379718517,False,False
5.0,-0.02,2022.135964769459,1435.9601519290934,False,False
5.0,0.0,3512.535987209277,2607.321093727385,False,False
5.0,0.02,6282.420012114985,4843.922907847019,False,False
