year,emissions_mtco2e,co2_mt,ch4_kt,sc_cad2021_per_t,sc_cad2025_per_t,sc_ch4_cad2021_per_t,sc_ch4_cad2025_per_t,co2_damage_cad,ch4_damage_cad,damage_cad,damage_cad_billion
2025,12.2675,11.841666666666667,14.289709172259506,271.0,312.6076567041528,2589.0,2986.4989786238066,3701795668.138343,42676201.84778426,3744471869.986127,3.744471869986127
2026,29.442,28.42,34.29530201342282,275.0,317.22179185845766,2687.0,3099.5452899042753,9015443324.617367,106299841.82154931,9121743166.438915,9.121743166438915
2027,41.7095,40.26166666666667,48.58501118568232,280.0,322.9894608013387,2783.0,3210.284533607591,13004094007.6299,155971709.97454777,13160065717.604448,13.160065717604448
2028,49.2803,47.56966666666667,57.40380313199104,285.0,328.75712974421975,2880.0,3322.1773110994836,15638867076.22262,190705612.33592212,15829572688.558544,15.829572688558544
2029,54.9584,53.05066666666667,64.01789709172259,289.0,333.37126489852454,2976.0,3432.9165548027995,17685567850.37666,219768098.72983646,17905335949.106495,17.905335949106494
2030,57.589253,55.59019666666667,67.08242729306487,294.0,339.1389338414056,3073.0,3544.809332294692,18852800029.567394,237794414.30143648,19090594443.86883,19.09059444386883
2031,57.589253,55.59019666666667,67.08242729306487,299.0,344.9066027842867,3184.0,3672.8515828266513,19173425880.410378,246383799.26318705,19419809679.673565,19.419809679673566
2032,57.589253,55.59019666666667,67.08242729306487,303.0,349.5207379385915,3297.0,3803.200900935763,19429926561.084763,255127947.91794214,19685054509.002705,19.685054509002704
2033,57.589253,55.59019666666667,67.08242729306487,308.0,355.28840688147255,3409.0,3932.3966852562985,19750552411.927746,263794714.72619495,20014347126.653942,20.01434712665394
2034,74.413253,71.83019666666667,86.67974272930647,313.0,361.0560758243536,3522.0,4062.74600336541,25934728934.158234,352157778.3462319,26286886712.504467,26.28688671250447
2035,155.06928457894736,149.75130192982456,178.45579359472504,317.0,365.6702109786584,3634.0,4191.941787685945,54759590171.00773,748076298.4243858,55507666469.43211,55.50766646943212
2036,211.9441482631579,204.700530877193,243.07440892499704,322.0,371.4378799215395,3745.0,4319.9840382179045,76033531207.8382,1050077566.655239,77083608774.49344,77.08360877449344
2037,235.58736423684212,227.54556495614037,269.85903626515955,327.0,377.2055488644205,3858.0,4450.333356327016,85831449720.94557,1200962670.5971012,87032412391.54268,87.03241239154268
2038,235.58736423684212,227.54556495614037,269.85903626515955,331.0,381.81968401872535,3971.0,4580.682674436128,86881375711.41586,1236138611.959847,88117514323.3757,88.1175143233757
2039,235.58736423684212,227.54556495614037,269.85903626515955,336.0,387.5873529616064,4083.0,4709.878458756663,88193783199.50372,1271003261.806108,89464786461.30983,89.46478646130983
2040,235.58736423684212,227.54556495614037,269.85903626515955,341.0,393.35502190448744,4194.0,4837.920709288623,89506190687.59155,1305556620.1358848,90811747307.72745,90.81174730772744
2041,235.58736423684212,227.54556495614037,269.85903626515955,347.0,400.27622463594474,4316.0,4978.651831494921,91081079673.297,1343534185.1469908,92424613858.44398,92.42461385844399
2042,235.58736423684212,227.54556495614037,269.85903626515955,352.0,406.04389357882576,4439.0,5120.536487489794,92393487161.38484,1381823041.6745808,93775310203.05942,93.77531020305942
2043,235.58736423684212,227.54556495614037,269.85903626515955,357.0,411.81156252170683,4560.0,5260.114075907516,93705894649.4727,1419489315.1692023,95125383964.6419,95.12538396464191
2044,235.58736423684212,227.54556495614037,269.85903626515955,362.0,417.57923146458785,4682.0,5400.845198113813,95018302137.56055,1457466880.180308,96475769017.74084,96.47576901774084
2045,235.58736423684212,227.54556495614037,269.85903626515955,367.0,423.3469004074689,4803.0,5540.422786531534,96330709625.6484,1495133153.6749294,97825842779.32333,97.82584277932334
2046,235.58736423684212,227.54556495614037,269.85903626515955,372.0,429.11456935034994,4924.0,5680.000374949256,97643117113.73625,1532799427.169551,99175916540.90579,99.17591654090579
2047,235.58736423684212,227.54556495614037,269.85903626515955,379.0,437.1893058703834,5046.0,5820.731497155553,99480487597.05923,1570776992.1806567,101051264589.2399,101.05126458923989
2048,235.58736423684212,227.54556495614037,269.85903626515955,384.0,442.9569748132645,5167.0,5960.309085573275,100792895085.1471,1608443265.6752782,102401338350.82239,102.40133835082239
2049,235.58736423684212,227.54556495614037,269.85903626515955,389.0,448.72464375614555,5289.0,6101.0402077795725,102105302573.23495,1646420830.6863842,103751723403.92134,103.75172340392135
2050,235.58736423684212,227.54556495614037,269.85903626515955,394.0,454.49231269902657,5410.0,6240.6177961972935,103417710061.3228,1684087104.1810052,105101797165.50381,105.10179716550381
2051,235.58736423684212,227.54556495614037,269.85903626515955,399.0,460.25998164190764,5524.0,6372.120648094981,104730117549.41066,1719574337.0602353,106449691886.4709,106.4496918864709
2052,235.58736423684212,227.54556495614037,269.85903626515955,403.0,464.8741167962125,5638.0,6503.62349999267,105780043539.88095,1755061569.9394655,107535105109.8204,107.5351051098204
2053,235.58736423684212,227.54556495614037,269.85903626515955,408.0,470.6417857390935,5751.0,6633.972818101782,107092451027.9688,1790237511.3022113,108882688539.271,108.882688539271
2054,235.58736423684212,227.54556495614037,269.85903626515955,413.0,476.4094546819746,5864.0,6764.322136210893,108404858516.05666,1825413452.6649568,110230271968.7216,110.23027196872161
2055,235.58736423684212,227.54556495614037,269.85903626515955,417.0,481.02358983627937,5978.0,6895.824988108581,109454784506.52692,1860900685.5441868,111315685192.0711,111.3156851920711
2056,235.58736423684212,227.54556495614037,269.85903626515955,422.0,486.79125877916044,6091.0,7026.174306217693,110767191994.61478,1896076626.9069324,112663268621.52171,112.66326862152171
2057,152.7081342368421,147.54326495614035,173.3177610973743,427.0,492.5589277220415,6204.0,7156.523624326805,72673752379.40555,1240352651.8087883,73914105031.21434,73.91410503121433
2058,146.5326747368421,141.58216995614035,166.12432150005887,432.0,498.32659666492253,6318.0,7288.026476224492,70554160902.67807,1210718453.4372587,71764879356.11533,71.76487935611533
2059,146.5326747368421,141.58216995614035,166.12432150005887,436.0,502.9407318192274,6431.0,7418.375794333604,71207440170.29546,1232372645.4661303,72439812815.76158,72.43981281576158
2060,138.5927982368421,133.91790495614035,156.8756134463676,441.0,508.70840076210845,6545.0,7549.878646231292,68125163263.65019,1184391844.0731652,69309555107.72336,69.30955510772336
2061,138.5927982368421,133.91790495614035,156.8756134463676,445.0,513.3225359164132,6648.0,7668.692626454641,68743078576.69917,1203030860.1067076,69946109436.80588,69.94610943680588
