build_out,metric,median,p05,p95,n_draws,seed
committed,lifetime_mtco2e,1901.2287366258083,1810.5005381364424,2004.6015459904336,10000,20260828
committed,lifetime_co2_only_mt,1810.4807186990588,1733.1153520003102,1900.4676321703962,10000,20260828
committed,lifetime_ch4_kt,2950.1320034811833,1990.1093436078716,4357.917187129246,10000,20260828
committed,peak_mtco2e_yr,59.319090698318384,56.488334918434035,62.544363352950604,10000,20260828
committed,central_damage_cad_billion,757.1072464698705,723.9538726996377,795.5955524979622,10000,20260828
committed_plus_advanced,lifetime_mtco2e,3820.0384048337073,3603.8396419673245,4055.520553756864,10000,20260828
committed_plus_advanced,lifetime_co2_only_mt,3638.454341068684,3446.305154224027,3850.502038561266,10000,20260828
committed_plus_advanced,lifetime_ch4_kt,5919.076678673413,4003.6203429669786,8751.562252922671,10000,20260828
committed_plus_advanced,peak_mtco2e_yr,138.07377065480915,131.48477679582868,145.58105965018044,10000,20260828
committed_plus_advanced,central_damage_cad_billion,1578.0227693110187,1497.4437330871692,1669.1096573707052,10000,20260828
full,lifetime_mtco2e,7257.100102097078,6493.943924018288,8074.798571047758,10000,20260828
full,lifetime_co2_only_mt,6919.360047277092,6196.590523997481,7679.959084866811,10000,20260828
full,lifetime_ch4_kt,11038.993196186988,7326.953486401249,16618.25762030381,10000,20260828
full,peak_mtco2e_yr,242.51935810458906,231.08492234578645,255.56885766355458,10000,20260828
full,central_damage_cad_billion,3135.080570087628,2761.177478820261,3547.6061618184294,10000,20260828
