project_id,lifespan_years,emissions_mtco2e,case
lng_canada_phase_1,32,1309.595,central
cedar_lng,39,376.555245,central
woodfibre_lng,30,183.33336,central
lng_canada_phase_2,27,888.636,central
ksi_lisims_lng,35,1047.6191999999999,central
marinvest_baie_comeau,40,1521.7262731578946,central
summit_lake_pg_lng,30,195.505245,central
fermeuse_energy_flng,40,504.92398000000003,central
kanata_lng,40,1226.3262,central
lng_canada_phase_1,40,1647.5549999999998,uniform_40yr_no_licence_stop
cedar_lng,40,386.38412999999997,uniform_40yr_no_licence_stop
woodfibre_lng,40,245.88081,uniform_40yr_no_licence_stop
lng_canada_phase_2,40,1430.7139,uniform_40yr_no_licence_stop
ksi_lisims_lng,40,1226.3262,uniform_40yr_no_licence_stop
marinvest_baie_comeau,40,1521.7262731578946,uniform_40yr_no_licence_stop
summit_lake_pg_lng,40,275.92339499999997,uniform_40yr_no_licence_stop
fermeuse_energy_flng,40,504.92398000000003,uniform_40yr_no_licence_stop
kanata_lng,40,1226.3262,uniform_40yr_no_licence_stop
